Security Weight λ,Avg Latency (ms),ASR (%),STCR (%),Cloud Offloading (%),False Positive (%)
0.1,255,12.8,84.6,52,1.6
0.2,268,8.1,89.2,46,2.1
0.3,285,4.9,91.3,39,2.9
0.4,315,3.5,90.7,32,4.3
0.5,356,2.8,88.9,26,6.1
