Variant,Avg Latency (ms),STCR (%),ASR (%),Privacy Leakage (%),Unauthorized Tool Execution (%),Throughput (tasks/s)
Full SecureEdgeAgent,285,91.3,4.9,1.2,2.1,28.4
Without task profiler,325,87.6,6.8,1.8,3.2,25.9
Without risk analyzer,275,78.9,22.7,8.9,12.4,29.1
Without trust evaluator,292,82.4,14.6,3.1,5.9,27.8
Without privacy filtering,280,85,8.2,11.5,4,28.8
Without secure sandbox,268,80.7,16.9,4.2,18.6,29.5
Without hybrid execution,360,89.5,5.5,1.4,2.7,23.7
Without feedback adaptation,330,89.1,8.7,2.4,4.5,25.6
