Risk Threshold,Avg Latency (ms),Task Completion (%),ASR (%),False Positive (%),Human Escalation (%)
0.2,342,84.2,2.1,7.8,13.6
0.3,315,88.4,3.2,5.4,9.2
0.4,285,91.3,4.9,2.9,5.1
0.5,271,92,7.4,2.1,3.2
0.6,260,92.4,11.3,1.6,2
0.7,252,92.6,16.8,1.2,1.1
